video,role,tp,fp,fn,tn,accuracy,precision,recall,f1_score
SNGS-116,player,955,60,0,58,0.9440820130475303,0.9408866995073891,1.0,0.9695431472081217
SNGS-116,goalkeeper,0,12,60,1001,0.9328984156570364,0.0,0.0,0.0
SNGS-116,referee,46,0,12,1015,0.9888164026095061,1.0,0.7931034482758621,0.8846153846153846
SNGS-117,player,737,22,0,84,0.9739027283511269,0.9710144927536232,1.0,0.9852941176470589
SNGS-117,goalkeeper,0,39,22,782,0.9276393831553974,0.0,0.0,0.0
SNGS-117,referee,45,0,39,759,0.9537366548042705,1.0,0.5357142857142857,0.6976744186046512
SNGS-118,player,875,69,0,69,0.9318854886475815,0.926906779661017,1.0,0.9620670698185817
SNGS-118,goalkeeper,0,0,64,949,0.9368213228035538,0.0,0.0,0.0
SNGS-118,referee,69,0,5,939,0.9950641658440277,1.0,0.9324324324324325,0.965034965034965
SNGS-119,player,670,33,1,68,0.9559585492227979,0.9530583214793741,0.9985096870342772,0.975254730713246
SNGS-119,goalkeeper,0,30,33,709,0.9183937823834197,0.0,0.0,0.0
SNGS-119,referee,38,1,30,703,0.9598445595854922,0.9743589743589743,0.5588235294117647,0.7102803738317757
SNGS-121,player,965,36,0,70,0.9663865546218487,0.964035964035964,1.0,0.9816887080366227
SNGS-121,goalkeeper,0,0,36,1035,0.9663865546218487,0.0,0.0,0.0
SNGS-121,referee,70,0,0,1001,1.0,1.0,1.0,1.0
SNGS-122,player,975,36,0,78,0.9669421487603306,0.9643916913946587,1.0,0.9818731117824773
SNGS-122,goalkeeper,0,0,36,1053,0.9669421487603306,0.0,0.0,0.0
SNGS-122,referee,78,0,0,1011,1.0,1.0,1.0,1.0
SNGS-123,player,1043,38,0,92,0.9676044330775788,0.9648473635522664,1.0,0.9821092278719398
SNGS-123,goalkeeper,5,22,38,1108,0.948849104859335,0.18518518518518517,0.11627906976744186,0.14285714285714285
SNGS-123,referee,65,0,22,1086,0.9812446717817562,1.0,0.7471264367816092,0.8552631578947367
SNGS-124,player,781,35,0,82,0.9610244988864143,0.9571078431372549,1.0,0.9780839073262367
SNGS-124,goalkeeper,0,0,35,863,0.9610244988864143,0.0,0.0,0.0
SNGS-124,referee,82,0,0,816,1.0,1.0,1.0,1.0
SNGS-125,player,742,57,0,68,0.9342560553633218,0.9286608260325406,1.0,0.963011031797534
SNGS-125,goalkeeper,0,0,57,810,0.9342560553633218,0.0,0.0,0.0
SNGS-125,referee,9,0,59,799,0.9319492502883506,1.0,0.1323529411764706,0.23376623376623376
