video,role,tp,fp,fn,tn,accuracy,precision,recall,f1_score
SNGS-142,player,880,14,13,122,0.9737609329446064,0.9843400447427293,0.9854423292273237,0.9848908785674314
SNGS-142,goalkeeper,40,13,15,961,0.9727891156462585,0.7547169811320755,0.7272727272727273,0.7407407407407407
SNGS-142,referee,80,2,1,946,0.9970845481049563,0.975609756097561,0.9876543209876543,0.9815950920245398
SNGS-189,player,1037,105,1,59,0.9118136439267887,0.9080560420315237,0.9990366088631984,0.9513761467889909
SNGS-189,goalkeeper,7,0,40,1155,0.9667221297836939,1.0,0.14893617021276595,0.25925925925925924
SNGS-189,referee,35,15,82,1070,0.9193011647254575,0.7,0.29914529914529914,0.41916167664670656
SNGS-145,player,706,12,51,110,0.9283276450511946,0.9832869080779945,0.9326287978863936,0.9572881355932203
SNGS-145,goalkeeper,41,40,11,787,0.9419795221843004,0.5061728395061729,0.7884615384615384,0.6165413533834587
SNGS-145,referee,68,5,2,804,0.9920364050056882,0.9315068493150684,0.9714285714285714,0.9510489510489512
SNGS-187,player,1267,110,3,19,0.9192280200142959,0.9201161946259986,0.9976377952755906,0.9573101624480544
SNGS-187,goalkeeper,0,2,47,1350,0.9649749821300929,0.0,0.0,0.0
SNGS-187,referee,12,2,70,1315,0.9485346676197284,0.8571428571428571,0.14634146341463414,0.25
SNGS-120,player,972,6,1,129,0.9936823104693141,0.9938650306748467,0.998972250770812,0.9964120963608407
SNGS-120,goalkeeper,18,1,8,1081,0.9918772563176895,0.9473684210526315,0.6923076923076923,0.7999999999999999
SNGS-120,referee,108,0,1,999,0.9990974729241877,1.0,0.9908256880733946,0.9953917050691244
SNGS-118,player,874,6,0,133,0.9940769990128332,0.9931818181818182,1.0,0.9965792474344356
SNGS-118,goalkeeper,57,0,7,949,0.9930898321816387,1.0,0.890625,0.9421487603305785
SNGS-118,referee,75,1,0,937,0.9990128331688055,0.9868421052631579,1.0,0.9933774834437086
SNGS-127,player,1268,1,2,112,0.9978308026030369,0.9992119779353822,0.9984251968503937,0.9988184324537219
SNGS-127,goalkeeper,0,4,0,1379,0.9971077368040492,0.0,0.0,0.0
SNGS-127,referee,106,0,7,1270,0.9949385394070861,1.0,0.9380530973451328,0.9680365296803652
SNGS-129,player,1019,18,3,118,0.9818652849740933,0.982642237222758,0.99706457925636,0.989800874210782
SNGS-129,goalkeeper,31,0,19,1108,0.9835924006908463,1.0,0.62,0.7654320987654321
SNGS-129,referee,86,4,0,1068,0.9965457685664939,0.9555555555555556,1.0,0.9772727272727273
SNGS-116,player,957,40,0,79,0.9628252788104089,0.9598796389167502,1.0,0.9795291709314228
SNGS-116,goalkeeper,20,0,39,1017,0.9637546468401487,1.0,0.3389830508474576,0.5063291139240507
SNGS-116,referee,59,0,1,1016,0.9990706319702602,1.0,0.9833333333333333,0.9915966386554621
SNGS-144,player,779,29,16,96,0.9510869565217391,0.9641089108910891,0.979874213836478,0.9719276356830941
SNGS-144,goalkeeper,0,14,29,877,0.9532608695652174,0.0,0.0,0.0
SNGS-144,referee,96,0,0,824,1.0,1.0,1.0,1.0
SNGS-143,player,588,29,10,54,0.9427312775330396,0.9529983792544571,0.9832775919732442,0.9679012345679013
SNGS-143,goalkeeper,0,6,29,646,0.9486049926578561,0.0,0.0,0.0
SNGS-143,referee,54,2,0,625,0.9970631424375918,0.9642857142857143,1.0,0.9818181818181818
SNGS-188,player,1494,115,0,101,0.9327485380116959,0.9285270354257302,1.0,0.9629390912020624
SNGS-188,goalkeeper,3,6,9,1692,0.9912280701754386,0.3333333333333333,0.25,0.28571428571428575
SNGS-188,referee,43,1,94,1572,0.9444444444444444,0.9772727272727273,0.31386861313868614,0.4751381215469614
SNGS-128,player,1203,5,1,126,0.9955056179775281,0.9958609271523179,0.9991694352159468,0.9975124378109453
SNGS-128,goalkeeper,4,0,5,1326,0.9962546816479401,1.0,0.4444444444444444,0.6153846153846153
SNGS-128,referee,122,0,0,1213,1.0,1.0,1.0,1.0
SNGS-117,player,732,6,0,99,0.992831541218638,0.991869918699187,1.0,0.9959183673469388
SNGS-117,goalkeeper,17,0,5,815,0.994026284348865,1.0,0.7727272727272727,0.8717948717948718
SNGS-117,referee,82,0,1,754,0.998805256869773,1.0,0.9879518072289156,0.993939393939394
SNGS-119,player,673,5,1,96,0.9922580645161291,0.9926253687315634,0.9985163204747775,0.9955621301775148
SNGS-119,goalkeeper,28,0,4,743,0.9948387096774194,1.0,0.875,0.9333333333333333
SNGS-119,referee,68,0,1,706,0.9987096774193548,1.0,0.9855072463768116,0.9927007299270074
SNGS-126,player,825,12,0,148,0.9878172588832488,0.985663082437276,1.0,0.9927797833935018
SNGS-126,goalkeeper,48,1,12,924,0.9868020304568528,0.9795918367346939,0.8,0.8807339449541285
SNGS-126,referee,99,0,1,885,0.9989847715736041,1.0,0.99,0.9949748743718593
SNGS-121,player,964,0,3,107,0.9972067039106145,1.0,0.9968976215098242,0.9984464008285863
SNGS-121,goalkeeper,37,0,0,1037,1.0,1.0,1.0,1.0
SNGS-121,referee,70,2,0,1002,0.9981378026070763,0.9722222222222222,1.0,0.9859154929577464
SNGS-132,player,864,16,68,120,0.9213483146067416,0.9818181818181818,0.927038626609442,0.9536423841059603
SNGS-132,goalkeeper,4,52,31,981,0.9222846441947565,0.07142857142857142,0.11428571428571428,0.0879120879120879
SNGS-132,referee,99,0,2,967,0.99812734082397,1.0,0.9801980198019802,0.99
SNGS-135,player,1031,49,8,92,0.9516949152542373,0.9546296296296296,0.9923002887391723,0.9731005191127892
SNGS-135,goalkeeper,0,6,49,1125,0.9533898305084746,0.0,0.0,0.0
SNGS-135,referee,91,0,1,1088,0.9991525423728813,1.0,0.9891304347826086,0.994535519125683
SNGS-195,player,1064,129,13,68,0.8885400313971743,0.8918692372170998,0.9879294336118849,0.9374449339207049
SNGS-195,goalkeeper,29,9,26,1210,0.9725274725274725,0.7631578947368421,0.5272727272727272,0.6236559139784946
SNGS-195,referee,26,1,116,1131,0.9081632653061225,0.9629629629629629,0.18309859154929578,0.30769230769230765
SNGS-192,player,921,81,2,84,0.9237132352941176,0.9191616766467066,0.9978331527627302,0.9568831168831169
SNGS-192,goalkeeper,24,2,12,1050,0.9871323529411765,0.9230769230769231,0.6666666666666666,0.7741935483870968
SNGS-192,referee,38,10,91,949,0.9071691176470589,0.7916666666666666,0.29457364341085274,0.42937853107344637
SNGS-150,player,854,53,12,110,0.9368318756073858,0.9415656008820287,0.9861431870669746,0.9633389734912577
SNGS-150,goalkeeper,0,5,52,972,0.9446064139941691,0.0,0.0,0.0
SNGS-150,referee,110,0,1,918,0.9990281827016521,1.0,0.990990990990991,0.9954751131221719
SNGS-134,player,721,0,3,114,0.9964200477326969,1.0,0.9958563535911602,0.9979238754325259
SNGS-134,goalkeeper,17,1,0,820,0.9988066825775657,0.9444444444444444,1.0,0.9714285714285714
SNGS-134,referee,97,1,0,740,0.9988066825775657,0.9897959183673469,1.0,0.9948717948717948
SNGS-133,player,940,35,19,181,0.9540425531914893,0.9641025641025641,0.9801876955161627,0.9720785935884177
SNGS-133,goalkeeper,9,16,2,1148,0.9846808510638297,0.36,0.8181818181818182,0.5
SNGS-133,referee,140,1,0,1034,0.9991489361702127,0.9929078014184397,1.0,0.9964412811387899
SNGS-193,player,1025,76,0,69,0.935042735042735,0.9309718437783833,1.0,0.9642521166509879
SNGS-193,goalkeeper,29,1,20,1120,0.982051282051282,0.9666666666666667,0.5918367346938775,0.7341772151898733
SNGS-193,referee,25,14,71,1060,0.9273504273504274,0.6410256410256411,0.2604166666666667,0.3703703703703704
SNGS-194,player,1293,120,9,24,0.9107883817427386,0.9150743099787686,0.9930875576036866,0.9524861878453038
SNGS-194,goalkeeper,0,4,21,1421,0.9827109266943291,0.0,0.0,0.0
SNGS-194,referee,24,0,99,1323,0.9315352697095436,1.0,0.1951219512195122,0.326530612244898
SNGS-200,player,962,119,16,75,0.8848122866894198,0.8899167437557817,0.983640081799591,0.9344341913550266
SNGS-200,goalkeeper,19,5,34,1114,0.9667235494880546,0.7916666666666666,0.3584905660377358,0.49350649350649345
SNGS-200,referee,49,1,92,1030,0.9206484641638225,0.98,0.3475177304964539,0.5130890052356021
SNGS-124,player,774,24,2,93,0.9708846584546472,0.9699248120300752,0.9974226804123711,0.9834815756035579
SNGS-124,goalkeeper,13,1,23,856,0.973124300111982,0.9285714285714286,0.3611111111111111,0.52
SNGS-124,referee,79,0,2,812,0.9977603583426652,1.0,0.9753086419753086,0.9875
SNGS-123,player,1049,10,0,119,0.9915110356536503,0.9905571293673276,1.0,0.9952561669829222
SNGS-123,goalkeeper,32,0,11,1135,0.9906621392190152,1.0,0.7441860465116279,0.8533333333333333
SNGS-123,referee,86,1,0,1091,0.9991511035653651,0.9885057471264368,1.0,0.9942196531791908
SNGS-146,player,550,0,7,107,0.9894578313253012,1.0,0.9874326750448833,0.993676603432701
SNGS-146,goalkeeper,51,2,0,611,0.9969879518072289,0.9622641509433962,1.0,0.9807692307692307
SNGS-146,referee,56,4,0,604,0.9939759036144579,0.9333333333333333,1.0,0.9655172413793104
SNGS-141,player,886,38,10,40,0.9507186858316222,0.9588744588744589,0.9888392857142857,0.9736263736263736
